# GRE 词汇词典
# GRE 研究生入学考试词汇
# 共 7479 条
# 格式: word|translation

marred|marred v. 毁坏, 损坏, 玷污( mar的过去式和过去分词 )
connubial|connubial a. 结婚的, 夫妇的, 配偶的
cogitate|cogitate v. 思考, 考虑
unexceptionable|unexceptionable a. 无懈可击的, 极好的, 完美无缺的
ruminant|ruminant a. 反刍类的, 沉思的, 默想的；n. 反刍动物
cringing|cringing n. 奉承（的）
trammel|trammel n. 鱼网, 拘束, 束缚；vt. 拘束, 束缚
phial|phial n. 管形瓶, 小药瓶；[医] 管[形]瓶
oblation|oblation n. 向上帝的供奉, 祭献, (对宗教、慈善业的)损献, 祭品
hector|hector n. 威吓者, 虚张声势的人；vt.vi. 说大话, 吓唬, 折磨, 愚弄
whelp|whelp n. 小狗；v. 下崽
abase|abase vt. 降低...的地位, 降低...的品格, 贬抑, 使谦卑
macerate|macerate vi. 浸软, 消瘦；vt. 把...浸软, 使消瘦
coltish|coltish a. 小马似的, 蹦蹦跳跳的, 不守纪律的
coruscate|coruscate vi. 闪烁, 熠熠生辉, 焕发
pulchritude|pulchritude n. 美丽
skinflint|skinflint n. 吝啬鬼
twaddle|twaddle n. 废话, 蠢话；vi. 讲废话
maladroit|maladroit a. 笨拙的, 拙劣的, 愚钝的
superannuated|superannuated a. 年老退休的, 老朽的, 体弱退休的, 领养老金的, 过时的, 太旧的, 废弃的
blustering|blustering a. 狂风大作的, 狂暴的
controvert|controvert vt. 议论, 辩驳, 驳击；vi. 参加辩论
bruit|bruit vt. 散播；[医] [杂]音
preeminent|preeminent a. 优秀的, 超群的, 卓越的
orthodontics|orthodontics [医] 正牙学
demotic|demotic a. 人民的, 民众的, 通俗的
convoke|convoke vt. 召集...开会
tackiness|tackiness n. 粘着性
piebald|piebald a. 花斑的, 杂色的, 杂种的；n. 花斑马
votary|votary n. (天主教)立誓献身者, 崇拜者, 支持者, 信徒
espy|espy vt. 看出, 望见, 发现
eclogue|eclogue n. 牧歌, 田园诗
motile|motile a. 能动的, 运动表象型的；n. 运动表象型
unwonted|unwonted a. 不习惯的, 不寻常的, 非惯常的
abash|abash vt. 使不安, 使羞愧, 使困窘
tipple|tipple vt. (习惯性地)少量饮(酒)；vi. 饮酒；n. 酒, 含酒饮料
abstemious|abstemious a. 有节制的, 节约的
unpremeditated|unpremeditated a. 未经事先考虑的, 无预谋的, 偶然的；[法] 非故意的, 无预谋的, 无准备的
cupidity|cupidity n. 贪心, 贪婪
adventitious|adventitious a. 偶然的, 外来的；[医] 偶生的, 偶发的; 异位的
masticate|masticate v. 咀嚼
proverbially|proverbially adv. 如谚语所说, 众所周知
valorous|valorous a. 勇敢的, 勇武的, 刚勇的
tare|tare n. 巢菜, 稗子, 皮重；vt. 称皮重
serried|serried a. 密集的, 林立的, 锯齿状的
warranted|warranted a. 担保的；保证的
runic|runic a. 如尼文字的
underestimated|underestimated v. 对…估计不足, 低估( underestimate的过去式和过去分词 ); 对…认识不足（或重视不够）, 低估, 轻视
obtrude|obtrude vt. 逼使, 强迫, 伸出；vi. 打扰, 强行闯入
odoriferous|odoriferous a. 散发气味的, 臭的
frigidity|frigidity n. 寒冷, 冷淡；[医] 寒冷, 冷淡, 性感缺失
gloaming|gloaming n. 夕幕, 黄昏, 薄明
lissome|lissome a. 柔软的, 敏捷的
nonporous|nonporous a. 无孔的, 无孔隙的
emaciation|emaciation n. 瘦弱, 憔悴, 衰弱；[医] 消瘦
dilapidation|dilapidation n. 荒废, 破损, 崩塌；[法] 倒塌, 毁坏
impalpable|impalpable a. 不可触知的, 不能感知的, 难以理解的；[医] 不可接触的, 极细微的
